token_id,fold
1091653_1_2,9
1091653_1_4,5
1091653_1_7,4
1091653_1_9,7
1091653_1_12,3
1091653_1_15,6
1091653_1_17,0
1091653_1_19,0
1091653_1_23,7
1091653_1_24,3
1091653_1_26,9
1091653_1_27,6
1091653_1_28,6
1091653_2_2,5
1091653_2_3,5
1091653_2_5,7
1091653_2_6,1
1091653_2_7,6
1091653_2_11,1
1091653_2_12,8
1091653_2_15,1
1091653_2_17,3
1091653_2_19,1
1091653_2_21,4
1091653_2_23,7
1091653_2_24,7
1091653_3_1,2
1091653_3_5,5
1091653_3_8,6
1091653_3_11,6
1091653_3_13,7
1091653_3_21,8
1091653_3_22,1
1091653_3_25,9
1091653_3_27,4
1091653_3_28,1
1091653_3_30,7
1091653_4_1,4
1091653_4_2,6
1091653_4_3,3
1091653_4_5,4
1091653_4_6,9
1091653_4_9,5
1091653_4_10,0
1091653_4_12,3
1091653_5_1,0
1091653_5_4,3
1091653_5_6,4
1091653_5_7,9
1091653_5_8,6
1091653_5_10,2
1091653_5_11,6
1091653_5_14,2
1091653_5_16,4
1091653_5_17,1
1091653_5_21,5
1091653_5_23,4
1091653_5_25,3
1091653_6_1,1
1091653_6_4,8
1091653_6_5,8
1091653_6_8,7
1091653_6_10,2
1091653_6_12,0
1091653_6_13,1
1091653_6_14,6
1091653_6_17,3
1091653_6_20,1
1091653_6_23,5
1091653_6_27,5
1091653_7_2,6
1091653_7_5,3
1091653_7_8,4
1091653_7_10,8
1091653_7_12,5
1091653_7_17,4
1091653_7_18,5
1091653_8_1,7
1091653_8_3,0
1091653_8_5,9
1091653_8_8,8
1091653_8_11,6
1091653_8_14,6
1091653_8_21,2
1091653_8_23,3
1091653_8_25,3
1091653_8_28,4
1091653_8_30,1
1091653_8_31,5
1091653_8_36,7
1091653_8_37,2
1091653_8_41,0
1091653_9_1,7
1091653_9_2,2
1091653_9_3,7
1091653_9_5,9
1091653_9_6,0
1091653_9_9,1
1091653_10_1,6
1091653_10_6,1
1091653_10_8,5
1091653_10_12,9
1091653_10_13,6
1091653_10_15,9
1091653_10_17,9
1091653_10_19,2
1091653_10_20,2
1091653_10_22,9
1091653_10_24,0
1091653_10_25,9
1091653_11_4,6
1091653_11_6,0
1091653_11_8,9
1091653_11_14,8
1091653_11_15,6
1091653_11_16,5
1091653_11_18,4
1091653_11_22,4
1091653_11_23,2
1091653_11_25,5
1091653_11_28,9
1091653_12_3,1
1091653_12_6,7
1091653_12_9,8
1091653_12_12,9
1091653_12_14,4
1091653_13_3,2
1091653_13_4,3
1091653_13_6,1
1091653_13_8,9
1091653_13_10,2
1091653_13_14,7
1091653_13_15,4
1091653_13_17,7
1091653_13_19,6
1091653_14_1,1
1091653_14_6,8
1091653_14_7,2
1091653_14_9,8
1091653_14_10,0
1091653_14_11,1
1091653_14_14,3
1091653_14_16,2
1091653_14_19,4
1091653_14_21,4
1091653_14_25,8
1091653_14_27,0
1121565_1_2,8
1121565_1_5,5
1121565_1_7,2
1121565_1_9,5
1121565_1_10,0
1121565_1_12,4
1121565_1_13,3
1121565_1_14,6
1121565_2_4,8
1121565_3_1,7
1121565_3_4,5
1121565_3_5,3
1121565_3_10,6
1121565_3_11,0
1121565_3_12,0
1121565_3_14,1
1121565_3_17,6
1121565_3_19,4
1121565_4_3,9
1121565_4_4,9
1121565_4_6,2
1121565_4_8,9
1121565_4_12,4
1121565_4_14,9
1121565_4_16,8
1121565_4_17,5
1121565_5_3,2
1121565_5_5,0
1121565_5_11,8
1121565_5_12,6
1121565_5_15,6
1121565_5_17,9
1121565_5_19,2
1121565_5_23,5
1121565_5_26,6
1121565_6_3,5
1121565_6_5,0
1121565_6_7,3
1121565_6_9,3
1121565_6_13,4
1121565_6_14,2
1121565_7_4,0
1121565_7_10,7
1121565_7_12,8
1121565_7_14,8
